rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
727,6,Uncle John's Pride LLC,unclassified food/bev mfr,,Tampa,Florida,http://www.unclejohnspride.com,2.3452042E7,72,Private,Bryan Beswick — Principal,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
728,6,United States Distilled Products Co.,unclassified food/bev mfr,,Princeton,Minnesota,http://www.phillipsdistilling.com,4.6046291E7,550,Private,Patricia Pelzer — Chief Financial Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
729,6,Universal Frozen Food,confirmed co-man (public sweep),wet-frozen-supplements,Brooklyn,NY,https://universalfrozenfood.com,,,,,0,0,,verified co-man (public sweep); Northeast,not contacted,,
730,6,"V & V Supremo Foods, Inc.",unclassified food/bev mfr,,Chicago,Illinois,http://www.vvsupremo.com,2.8333309E7,250,Private,Rich Wright — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
731,6,"Valentine Enterprises, Inc.",unclassified food/bev mfr,,Lawrenceville,Georgia,http://www.veiusa.com,5.0182148E7,168,Private,Peter Valentine — Principal,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
732,6,"Valley Fine Foods Company, LLC",unclassified food/bev mfr,,Benicia,California,http://valleyfine.com,4.7912853E7,375,Private,Brian Cullen — Chief Financial Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
733,6,"Vets Plus, Inc.",unclassified food/bev mfr,,Menomonie,Wisconsin,http://www.vetsplus.com,4.1373535E7,170,Private,Paul Hays — Chief Executive Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
734,6,Vie-Del Company,unclassified food/bev mfr,,Fresno,California,http://www.vie-del.com,2.6642212E7,99,Private,Richard Wattson — Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
735,6,Vigo Importing Company,unclassified food/bev mfr,,Tampa,Florida,http://www.vigo-alessi.com,2.4696096E7,187,Private,Bendy Mike — Chairwoman Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
736,6,"Virginia Poultry Growers Cooperative, Inc.",unclassified food/bev mfr,,Hinton,Virginia,http://www.vapoultrygrowers.com,4.7438599E7,550,Private,Jim Mason — President,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
737,6,Vita-pakt Citrus Products LLC,unclassified food/bev mfr,,Bakersfield,California,http://www.vita-pakt.com,4.3863171E7,100,Private,James Boyles — Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
738,6,Walker's Fresh Foods (Walker's Food Products),confirmed co-man (public sweep),wet-frozen-supplements,North Kansas City,MO,https://walkersfoodproducts.com,,,,,0,0,Michael Stinson (COO & Director of Sales),verified co-man (public sweep),not contacted,,
739,6,"Wehah Farm, Inc.",unclassified food/bev mfr,,Richvale,California,http://www.lundberg.com,3.885804E7,255,Private,Cheryl Balkenhol — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
